ad_number,title,type,Service/Office,Office of Primary Responsibility,published_date,effective_date,CFR Part Reference,CFR Subpart/Appendix Reference,CFR Section Reference
2008-26-10,"Airworthiness Directives; Cessna Aircraft Company 172, 175, 177, 180, 182, 185, 206, 207, 208, 210, 303, 336, and 337 Series Airplanes",AD Final Rules,,,11/16/2010,01/05/2009,Part 39,,
2018-02-04,"Airworthiness Directives; Aerospace Welding Minneapolis, Inc., Mufflers",AD Final Rules,,,01/17/2018,02/21/2018,Part 39,,
80-01-06,"Airworthiness Directives; Cessna Model 152/F152, A152/FA152 and 172RG Airplanes",AD Final Rules,,,08/09/2011,01/07/1980,Part 39,,
2000-06-01,"Airworthiness Directives; Cessna Aircraft Company 150, 152, 172, 177, 180, 182, 185, 188, 206, 207, 210, and 337 Series Airplanes",AD Final Rules,,,03/22/2000,05/05/2000,Part 39 (65 FR 15232  3/22/2000),,
83-17-06,"Airworthiness Directives; Cessna Models 180 through 180H, 180J and 180K 150D through 150L 185, 185A through 185E, A185E, A185F, 182 through 182R, R182, T182 and TR182, 172 and 172A through 172P Airplanes",AD Final Rules,,,03/03/2011,09/01/1983,Part 39,,
72-03-03 R3,"Airworthiness Directives; CESSNA Models 150F, G, H, J, K, L, F150F, G, H, J, K, L, A150K, L, FA150K, L, 172F, G, H, I, K, L, F172F, G, H, K, R172E, F, G, H, FR172E, F, G, H, 177, 177A, B, 177RG, F177RG, 182E, F, G, H, J, K, L, M, N, A182J, K, L, M, N, 205, 205A, 206, P206, P206A, B, C, D, E, and , TP206A, B, C, D, E, U206, U206A, B, C, D, E, and , TU206A, B, C, D, E, 207 and T207, 210D, E, F, G, H, J, K, T210F, G, H, J Airplanes",AD Final Rules,,,11/17/2015,10/15/1984,Part 39,,
86-24-07,"Airworthiness Directives; Cessna Models 150C thru 150M, A150K thru A150M, 152, A152, 172D thru 172N, R172K, P172D, 177 thru 177B, 177RG, 180F thru 180K, 182F thru 182Q, R182, 185B thru 185E, A185E, A185F, 188, A188, A188A, 188B, A188B, 205, 205A, 206, U206, U206A thru U206G, TU206A thru TU206G, P206, P206A thru P206E, TP206A thru TP206E, 207, 207A, T207, T207A, 210C thru 210M, T210K thru T210M, T210F thru T210J, P210N, F150F thru F150M, FA150K, FA150L, FRA150L, FRA150M, F152, FA152, FP172, F172D thru F172N, FR172E thru FR172K, F177RG, F182P",AD Final Rules,,,03/02/2011,01/07/1987,Part 39,,
74-08-01,"Airworthiness Directives; Aircraft Radio Corporation: Applies to Aircraft Radio Corporation Autopilot Servo Actuators PA-500A, PA-520A, or PA-520B Used In 300 and 400 Series Cessna Autopilots and 300, 400 and 800 Series IFCS",AD Final Rules,,,06/09/2011,04/09/1974,Part 39,,
2011-10-09,"Airworthiness Directives; Cessna Aircraft Company Models 150, 152, 170, 172, 175, 177, 180, 182, 185, 188, 190, 195, 206, 207, 210, T303, 336, and 337 Airplanes",AD Final Rules,,,05/13/2011,06/17/2011,Part 39,,
2004-19-01,"Airworthiness Directives; Cessna Aircraft Company 120, 140, 140A, 150, F150, 170, 172, F172, FR172, P172D, 175, 177, 180, 182, 185, A185E, 190, 195, 206, P206, U206, TP206, TU206, 207, T207, 210, T210, 336, 337, and T337 Series Airplanes",AD Final Rules,,,12/16/2004,11/01/2004,Part 39,,
